Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Epic,SCRUM-1,10000,User RegistrationUser Registration and Authentication and Authentication,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:52 AM,19/Mar/24 10:04 AM,
Epic,SCRUM-2,10001,Portal Features,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 12:21 PM,
Epic,SCRUM-3,10002,"Weather data Integration, Aggregation, Storage and Analytics",,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 12:20 PM,
Epic,SCRUM-4,10003,User Experience and Interface Design,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 9:53 AM,
Epic,SCRUM-5,10004,Mobile Apps Development,,,Manoj Chitgopkar,712020:dd638f31-28cb-4378-83e1-9971107ea3c4,Medium,To Do,,18/Mar/24 9:53 AM,18/Mar/24 9:53 AM,
